case,concurrency,tp4_output_tok_s,tp8_output_tok_s,pd_output_tok_s,tp8_over_tp4,pd_over_tp4,tp4_output_tok_s_per_gpu,tp8_output_tok_s_per_gpu,pd_output_tok_s_per_gpu,tp8_per_gpu_over_tp4,pd_per_gpu_over_tp4,tp4_mean_ttft_ms,tp8_mean_ttft_ms,pd_mean_ttft_ms,tp4_p99_tpot_ms,tp8_p99_tpot_ms,pd_p99_tpot_ms
4k_500,1,90.25825210514923,78.0365926525649,76.63793852962705,0.8645923318086605,0.8490961961056508,22.564563026287306,9.754574081570613,4.789871158101691,0.43229616590433023,0.2122740490264127,661.5986099216116,1080.240641687169,1168.837670468747,8.547402778855789,8.645442575417674,8.945077347549763
4k_500,2,180.7217077078216,170.34124468801096,175.82831082814445,0.9425610616927489,0.972923026559773,45.1804269269554,21.29265558600137,10.989269426759028,0.47128053084637445,0.24323075663994326,305.9348894539653,398.5517634837379,689.5156325151675,14.367462151521076,16.30055489131559,9.042411369659627
4k_500,4,333.4131759406412,305.2355828349001,335.70051740422355,0.915487463786501,1.0068603811385952,83.3532939851603,38.15444785436251,20.98128233776397,0.4577437318932505,0.2517150952846488,190.08498942253027,294.2960526402203,698.6886181553018,14.908850242072404,18.93678564659275,9.998615018004779
4k_500,8,544.9967394837674,474.82397744573694,680.2671101882838,0.8712418681541111,1.248203999959059,136.24918487094186,59.35299718071712,42.51669438676774,0.43562093407705554,0.31205099998976477,232.34316388993648,308.88947946982626,372.94642334268246,16.891066057001588,23.331862946389993,12.210919069381646
4k_500,16,813.4843983958432,725.7934819544363,1076.6349361882494,0.8922033211524035,1.3234856603412775,203.3710995989608,90.72418524430454,67.28968351176559,0.44610166057620176,0.33087141508531936,414.0116690944069,417.7231461565043,766.0539833436815,25.458154868885945,66.99742421960417,15.298008775026137
4k_500,32,1212.6198317101591,1066.7983696056037,1771.029254044513,0.8797467612756232,1.4604983422931723,303.1549579275398,133.34979620070047,110.68932837778206,0.4398733806378116,0.3651245855732931,608.1610572819045,880.7028206722407,748.3827432502039,31.547153262715426,173.88191406768937,13.95437824427824
4k_500,64,2403.604633189979,2149.17333468918,2351.547102618775,0.8941459443922246,0.978341891236033,600.9011582974947,268.6466668361475,146.97169391367345,0.4470729721961123,0.24458547280900825,914.0405333905619,1467.9035196872974,1781.302227530432,20.2872808727746,244.86870905328044,11.898860818594883
32k_500,1,84.68385776180146,66.93799286144616,69.45368805763981,0.7904457192978759,0.8201526228646664,21.170964440450366,8.36724910768077,4.340855503602488,0.39522285964893794,0.2050381557161666,832.9541037662693,1601.5834838290175,1499.4239755476428,8.604207173773798,8.652583612291547,8.803113211628565
32k_500,2,142.3161474302422,99.84102215192122,137.025138981822,0.7015438792766603,0.9628221495314603,35.57903685756055,12.480127768990153,8.564071186363876,0.35077193963833014,0.24070553738286507,727.3768436721184,1548.8753727656785,1515.7158740310024,29.39773502680071,41.909718109766764,9.635971593375094
32k_500,4,203.8431186176668,142.92072270446346,266.1010110701746,0.7011309661746743,1.3054206238341568,50.9607796544167,17.865090338057932,16.631313191885912,0.35056548308733715,0.3263551559585392,777.2276935465925,1428.5098803898109,1542.5691809994078,43.61092513453993,140.974692315319,9.217447406428013
32k_500,8,289.3358423136617,194.35790487452832,497.81368075115563,0.6717380858187275,1.720539276331649,72.33396057841543,24.29473810931604,31.113355046947227,0.33586904290936376,0.43013481908291223,776.0042702659575,1433.8981519374556,1520.3655884674845,153.4874206505864,97.67395831882878,10.30450138569496
32k_500,16,414.71532545505846,309.75613477348435,711.2794287574683,0.7469126790373503,1.7151028310251044,103.67883136376462,38.71951684668554,44.45496429734177,0.37345633951867513,0.4287757077562761,1009.9701248593647,1257.4039868911768,2428.8950113441388,349.6306341544463,117.52288804905777,11.115741334941191
32k_500,32,645.6412112660065,552.2013251183764,1040.094748282279,0.8552758335168718,1.6109485115468507,161.41030281650163,69.02516563979705,65.00592176764243,0.4276379167584359,0.4027371278867127,1481.8545569373782,1792.3534723124703,3293.752869110449,333.3141722396604,479.29444556415336,10.329891748603131
32k_500,64,1205.6252009005866,1214.9673093863314,1105.940672046349,1.0077487667633078,0.9173171489947501,301.40630022514665,151.87091367329143,69.12129200289681,0.5038743833816539,0.22932928724868754,3323.7182496886817,3742.135091171349,4162.70960401539,889.4761808754276,941.4578389917888,10.939713478458263
128k_500,1,48.683429683930505,32.72921893095382,32.46345605119779,0.6722866310661166,0.6668276303038151,12.170857420982626,4.0911523663692275,2.0289660031998618,0.3361433155330583,0.16670690757595377,2986.2627038753544,5476.003382436829,5579.250934515812,8.842718442705971,9.017528119557854,8.964116276095794
128k_500,2,64.93963675550452,41.71548591107592,62.278669125289504,0.6423732560767668,0.9590239834535343,16.23490918887613,5.21443573888449,3.892416820330594,0.3211866280383834,0.2397559958633836,3169.790040485168,5752.2241193594255,5774.188287515699,46.121690449631956,71.25513967156125,9.908065078808903
128k_500,4,94.85071264944763,56.9311360638668,107.60428849328892,0.6002183270280188,1.134459462534313,23.712678162361907,7.11639200798335,6.7252680308305575,0.3001091635140094,0.28361486563357824,2948.058382063209,6234.7086776876495,6764.705369454077,95.94411766463641,144.2969515886713,9.300866081784063
128k_500,8,127.1040215030402,78.62034964189232,153.0996715282828,0.618551236319551,1.2045226399435427,31.77600537576005,9.82754370523654,9.568729470517676,0.3092756181597755,0.3011306599858857,3113.0550512189075,5798.969894126003,9435.512382937077,318.8925224161442,125.64560221365392,9.711348279499337
128k_500,16,165.17017225348738,136.44349905252133,235.36609795721162,0.8260783238944674,1.424991539004962,41.292543063371845,17.055437381565167,14.710381122325726,0.4130391619472337,0.3562478847512405,3527.915488203462,5575.068824327673,10193.570340530869,1236.3957732932456,207.6999340018385,46.53214256290915
128k_500,32,194.05993113078677,165.33655168891363,239.79969184652555,0.8519870677346835,1.2356991494803349,48.51498278269669,20.667068961114204,14.987480740407847,0.42599353386734173,0.3089247873700837,5946.57123429738,8316.950753484889,18832.681342140633,2929.268202594459,1984.446470254763,247.99982590942167
128k_500,64,307.6992219862653,291.0659319840373,247.49936375813888,0.945943022231722,0.8043548571896827,76.92480549656632,36.383241498004665,15.46871023488368,0.472971511115861,0.20108871429742067,17321.37563156357,19780.742306829325,20775.99394507888,6291.269508547111,1360.9516291331001,770.4779528483638
