run_set,workload,concurrency,completed,request_throughput_req_s,output_throughput_tok_s,total_throughput_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,p99_e2e_latency_ms,source_file
tp4_nvl_env_only,4k_500,1,100,0.44,109.48,1027.96,184.87,216.71,8.42,8.49,4307.09,tp4_nvl_env_only_4k_500_c1.json
tp4_nvl_env_only,4k_500,4,100,1.38,344.18,3231.61,190.22,646.40,10.89,16.83,5850.53,tp4_nvl_env_only_4k_500_c4.json
tp4_nvl_env_only,4k_500,8,100,2.25,560.09,5258.90,197.47,608.07,13.10,22.62,7152.03,tp4_nvl_env_only_4k_500_c8.json
tp4_nvl_env_only,4k_500,16,100,3.43,854.80,8026.07,227.00,525.67,17.27,34.14,8822.52,tp4_nvl_env_only_4k_500_c16.json
tp4_nvl_env_only,4k_500,32,100,5.06,1261.52,11844.89,358.85,748.34,22.02,36.82,11735.83,tp4_nvl_env_only_4k_500_c32.json
tp4_nvl_env_only,4k_500,64,100,7.63,1903.37,17871.47,761.67,1242.51,24.36,36.92,10957.05,tp4_nvl_env_only_4k_500_c64.json
tp4_nvl_env_only,4k_500,128,100,14.52,3622.21,34010.28,810.74,938.26,14.62,29.25,6803.45,tp4_nvl_env_only_4k_500_c128.json
tp4_nvl_env_only,32k_500,1,100,0.36,89.12,5841.03,693.61,1479.93,8.47,8.55,5201.33,tp4_nvl_env_only_32k_500_c1.json
tp4_nvl_env_only,32k_500,4,100,0.88,218.81,14341.97,744.39,1497.00,14.83,26.37,10167.46,tp4_nvl_env_only_32k_500_c4.json
tp4_nvl_env_only,32k_500,8,100,1.25,311.02,20385.52,755.34,1455.40,21.53,44.52,14355.99,tp4_nvl_env_only_32k_500_c8.json
tp4_nvl_env_only,32k_500,16,100,1.72,428.29,28071.74,881.56,2134.29,32.42,52.26,19356.33,tp4_nvl_env_only_32k_500_c16.json
tp4_nvl_env_only,32k_500,32,100,2.33,582.09,38152.66,1549.72,5548.50,47.74,87.22,28394.36,tp4_nvl_env_only_32k_500_c32.json
tp4_nvl_env_only,32k_500,64,100,3.53,879.48,57644.88,3002.54,7099.63,75.03,184.24,26303.97,tp4_nvl_env_only_32k_500_c64.json
tp4_nvl_env_only,32k_500,128,100,4.78,1191.79,78114.46,6853.01,14884.64,114.95,760.24,20812.65,tp4_nvl_env_only_32k_500_c128.json
tp4_nvl_off,4k_500,1,100,0.44,109.76,1030.62,176.90,207.83,8.43,8.54,4312.25,tp4_nvl_off_4k_500_c1.json
tp4_nvl_off,4k_500,4,100,1.39,346.10,3249.68,179.80,526.12,10.88,17.98,5718.05,tp4_nvl_off_4k_500_c4.json
tp4_nvl_off,4k_500,8,100,2.27,565.18,5306.66,192.63,600.62,12.99,21.67,7041.74,tp4_nvl_off_4k_500_c8.json
tp4_nvl_off,4k_500,16,100,3.41,851.85,7998.36,257.87,802.66,16.64,24.76,8834.48,tp4_nvl_off_4k_500_c16.json
tp4_nvl_off,4k_500,32,100,5.17,1288.81,12101.08,325.95,619.54,21.59,39.22,11459.41,tp4_nvl_off_4k_500_c32.json
tp4_nvl_off,4k_500,64,100,7.64,1905.07,17887.42,628.56,933.38,24.51,30.80,10936.49,tp4_nvl_off_4k_500_c64.json
tp4_nvl_off,4k_500,128,100,14.72,3670.97,34468.08,800.73,860.87,13.22,17.04,6722.09,tp4_nvl_off_4k_500_c128.json
tp4_nvl_off,32k_500,1,100,0.36,89.04,5836.22,694.24,1512.66,8.47,8.59,5267.25,tp4_nvl_off_32k_500_c1.json
tp4_nvl_off,32k_500,4,100,0.87,217.28,14241.06,746.85,1487.88,15.07,30.58,10025.58,tp4_nvl_off_32k_500_c4.json
tp4_nvl_off,32k_500,8,100,1.26,313.62,20555.66,744.47,1434.19,21.38,43.89,14226.82,tp4_nvl_off_32k_500_c8.json
tp4_nvl_off,32k_500,16,100,1.71,427.07,27991.66,915.47,2804.10,33.35,76.91,19597.92,tp4_nvl_off_32k_500_c16.json
tp4_nvl_off,32k_500,32,100,2.32,579.88,38007.39,1379.78,5212.85,48.46,78.06,27425.84,tp4_nvl_off_32k_500_c32.json
tp4_nvl_off,32k_500,64,100,3.51,876.50,57449.22,2901.17,7358.46,76.73,180.80,26432.51,tp4_nvl_off_32k_500_c64.json
tp4_nvl_off,32k_500,128,100,4.86,1212.08,79444.64,7030.89,14618.81,110.14,735.57,20436.62,tp4_nvl_off_32k_500_c128.json
tp4_nvl_off,128k_500,1,100,0.20,49.27,13454.71,2925.49,5903.97,8.60,8.84,9273.35,tp4_nvl_off_128k_500_c1.json
tp4_nvl_off,128k_500,4,100,0.39,98.23,26825.27,2957.64,6321.33,30.42,160.60,23107.45,tp4_nvl_off_128k_500_c4.json
tp4_nvl_off,128k_500,8,100,0.50,125.58,34294.15,3098.49,7785.31,54.30,164.84,33655.89,tp4_nvl_off_128k_500_c8.json
tp4_nvl_off,128k_500,16,100,0.67,167.67,45788.66,3614.11,11788.17,80.42,152.92,50013.37,tp4_nvl_off_128k_500_c16.json
tp4_nvl_off,128k_500,32,100,0.85,210.92,57599.32,5322.93,20325.89,137.64,356.08,79602.20,tp4_nvl_off_128k_500_c32.json
tp4_nvl_off,128k_500,64,100,1.06,265.09,72391.73,13738.91,44593.04,366.47,1396.51,91670.35,tp4_nvl_off_128k_500_c64.json
tp4_nvl_off,128k_500,128,100,1.35,337.19,92080.75,28609.44,66283.32,515.37,3118.17,73812.55,tp4_nvl_off_128k_500_c128.json
tp4_nvl_on,32k_500,1,100,0.35,87.19,5714.75,758.18,1424.68,8.46,8.57,5390.40,tp4_nvl_on_32k_500_c1.json
tp4_nvl_on,32k_500,4,100,0.84,209.59,13737.58,730.16,1464.83,16.28,43.03,10602.98,tp4_nvl_on_32k_500_c4.json
tp4_nvl_on,32k_500,8,100,1.21,301.93,19789.88,758.36,1531.96,22.83,41.22,15644.69,tp4_nvl_on_32k_500_c8.json
tp4_nvl_on,32k_500,16,100,1.74,434.72,28493.18,940.55,3438.80,31.92,52.14,19335.46,tp4_nvl_on_32k_500_c16.json
tp4_nvl_on,32k_500,32,100,2.24,559.95,36701.39,1542.49,6393.97,51.64,129.44,31132.74,tp4_nvl_on_32k_500_c32.json
tp4_nvl_on,32k_500,64,100,3.25,810.22,53105.23,3611.55,10248.48,89.27,305.64,28687.29,tp4_nvl_on_32k_500_c64.json
